,Feature,Rank,Median_Total_Costs,Original_Category,Count
304,Zip Code,24,7306.82,103,62013
305,Zip Code,25,7372.504999999999,132,27858
306,Zip Code,26,7725.37,133,15619
307,Zip Code,27,7795.675,126,10670
308,Zip Code,28,8324.765,111,18920
309,Zip Code,29,8975.55,125,46514
310,Zip Code,30,9173.76,114,91975
311,Zip Code,31,9197.09,113,119787
312,Zip Code,32,9417.18,104,217951
313,Zip Code,33,9422.58,129,14007
314,Zip Code,34,9432.06,112,293867
315,Zip Code,35,9571.18,117,188469
316,Zip Code,36,9723.445,127,11774
317,Zip Code,37,9849.3,119,34140
318,Zip Code,38,9903.46,124,20111
319,Zip Code,39,10015.03,109,58871
320,Zip Code,40,10033.33,115,89023
321,Zip Code,41,10051.36,116,17082
322,Zip Code,42,10062.52,110,26278
323,Zip Code,43,10071.65,107,29683
324,Zip Code,44,10212.13,106,8895
325,Zip Code,45,10768.965,118,8130
326,Zip Code,46,11491.04,105,62234
327,Zip Code,47,11598.075,100,160860
328,Zip Code,48,11887.94,101,5521
329,Zip Code,49,12771.99,108,8622
330,Zip Code,50,14625.73,OOS,66761
331,Gender,1,4065.29,U,75
332,Gender,2,8654.884999999998,F,1296954
333,Gender,3,9394.945,M,1046540
334,Race,1,8742.76,Other Race,590915
335,Race,2,8830.93,White,1317040
336,Race,3,9441.83,Black/African American,411487
337,Race,4,10073.01,Multi-racial,24127
338,Ethnicity,1,8350.295,Unknown,141116
339,Ethnicity,2,8534.7,Spanish/Hispanic,297871
340,Ethnicity,3,9049.125,Not Span/Hispanic,1895664
341,Ethnicity,4,9259.49,Multi-ethnic,8918
342,Patient Disposition,1,4211.62,Left Against Medical Advice,50543
343,Patient Disposition,2,4501.15,Admitted from Ambulatory Surgery,43
344,Patient Disposition,3,7098.95,Another Type Not Listed,6875
345,Patient Disposition,4,7317.93,Home or Self Care,1541447
346,Patient Disposition,5,7562.87,Critical Access Hospital,125
347,Patient Disposition,6,7797.09,Short-term Hospital,40573
348,Patient Disposition,7,8330.619999999999,Psychiatric Hospital or Unit of Hosp,11986
349,Patient Disposition,8,8847.15,Facility w/ Custodial/Supportive Care,6787
350,Patient Disposition,9,9089.23,Court/Law Enforcement,4117
351,Patient Disposition,10,10576.21,Hosp Basd Medicare Approved Swing Bed,1455
352,Patient Disposition,11,10670.53,Federal Health Care Facility,747
353,Patient Disposition,12,13547.630000000001,Cancer Center or Children's Hospital,1822
354,Patient Disposition,13,14601.904999999999,Home w/ Home Health Services,337480
355,Patient Disposition,14,15240.06,Hospice - Home,11376
356,Patient Disposition,15,16457.385000000002,Skilled Nursing Home,222782
357,Patient Disposition,16,16457.5,Medicaid Cert Nursing Facility,696
358,Patient Disposition,17,17461.455,Hospice - Medical Facility,12614
359,Patient Disposition,18,17885.45,Expired,49305
360,Patient Disposition,19,22495.885000000002,Inpatient Rehabilitation Facility,40354
361,Patient Disposition,20,24439.335,Medicare Cert Long Term Care Hospital,2442
362,CCS Diagnosis Description,1,2152.31,Liveborn,219894
363,CCS Diagnosis Description,2,2160.4,Medical examination/evaluation,77
364,CCS Diagnosis Description,3,3288.475,Hemolytic jaundice and perinatal jaundice,2324
365,CCS Diagnosis Description,4,3968.09,Adjustment disorders,3887
366,CCS Diagnosis Description,5,4214.31,Administrative/social admission,93
367,CCS Diagnosis Description,6,4638.03,Diabetes mellitus without complication,227
368,CCS Diagnosis Description,7,4727.88,Substance-related disorders,36468
369,CCS Diagnosis Description,8,5073.14,Other upper respiratory infections,5118
370,CCS Diagnosis Description,9,5083.09,Acute and chronic tonsillitis,1935
371,CCS Diagnosis Description,10,5193.05,Abdominal pain,5815
372,CCS Diagnosis Description,11,5277.31,Allergic reactions,1601
373,CCS Diagnosis Description,12,5383.68,Anxiety disorders,3253
374,CCS Diagnosis Description,13,5407.22,Alcohol-related disorders,50957
375,CCS Diagnosis Description,14,5443.74,Essential hypertension,1216
376,CCS Diagnosis Description,15,5520.09,Nonspecific chest pain,21603
377,CCS Diagnosis Description,16,5659.315,Spontaneous abortion,1358
378,CCS Diagnosis Description,17,5659.705,Headache; including migraine,4514
379,CCS Diagnosis Description,18,5750.0599999999995,Conditions associated with dizziness or vertigo,5224
380,CCS Diagnosis Description,19,5774.095,Blindness and vision defects,410
381,CCS Diagnosis Description,20,5775.49,Screening and history of mental health and substance abuse codes,3
382,CCS Diagnosis Description,21,5850.99,Other pregnancy and delivery including normal,6756
383,CCS Diagnosis Description,22,5868.29,Nausea and vomiting,1941
384,CCS Diagnosis Description,23,5935.01,Noninfectious gastroenteritis,8680
385,CCS Diagnosis Description,24,5945.76,OB-related trauma to perineum and vulva,18911
386,CCS Diagnosis Description,25,5973.02,Induced abortion,365
387,CCS Diagnosis Description,26,5979.01,Umbilical cord complication,7739
388,CCS Diagnosis Description,27,6016.105,Early or threatened labor,9540
389,CCS Diagnosis Description,28,6058.3150000000005,Otitis media and related conditions,792
390,CCS Diagnosis Description,29,6082.57,Developmental disorders,119
391,CCS Diagnosis Description,30,6166.495000000001,Birth trauma,26
392,CCS Diagnosis Description,31,6217.17,Transient cerebral ischemia,8202
393,CCS Diagnosis Description,32,6246.43,Acute bronchitis,9685
394,CCS Diagnosis Description,33,6320.385,Other ear and sense organ disorders,620
395,CCS Diagnosis Description,34,6343.69,Fluid and electrolyte disorders,23765
396,CCS Diagnosis Description,35,6344.969999999999,Viral infection,5024
397,CCS Diagnosis Description,36,6388.5,Asthma,19819
398,CCS Diagnosis Description,37,6430.87,Other screening for suspected conditions (not mental disorders or infectious disease),1307
399,CCS Diagnosis Description,38,6446.86,Poisoning by nonmedicinal substances,1039
400,CCS Diagnosis Description,39,6480.65,"Impulse control disorders, NEC",1091
401,CCS Diagnosis Description,40,6487.33,Personality disorders,1533
402,CCS Diagnosis Description,41,6579.41,Superficial injury; contusion,2717
403,CCS Diagnosis Description,42,6597.275,Syncope,14784
404,CCS Diagnosis Description,43,6615.46,Female infertility,11
405,CCS Diagnosis Description,44,6675.16,Other complications of pregnancy,23159
406,CCS Diagnosis Description,45,6677.325,Fever of unknown origin,2860
407,CCS Diagnosis Description,46,6709.42,Intestinal infection,13053
408,CCS Diagnosis Description,47,6718.62,Poisoning by psychotropic agents,1467
409,CCS Diagnosis Description,48,6787.04,Genitourinary symptoms and ill-defined conditions,2222
410,CCS Diagnosis Description,49,6794.93,Contraceptive and procreative management,32
411,CCS Diagnosis Description,50,6834.06,Prolonged pregnancy,30873
412,CCS Diagnosis Description,51,6891.32,Suicide and intentional self-inflicted injury,5383
413,CCS Diagnosis Description,52,6892.610000000001,Other complications of birth; puerperium affecting management of mother,43138
414,CCS Diagnosis Description,53,6950.49,"Disorders usually diagnosed in infancy, childhood, or adolescence",537
415,CCS Diagnosis Description,54,6980.375,Skin and subcutaneous tissue infections,36750
416,CCS Diagnosis Description,55,7064.715,Other infections; including parasitic,1370
417,CCS Diagnosis Description,56,7084.36,Inflammatory diseases of female pelvic organs,1835
418,CCS Diagnosis Description,57,7099.075,Immunizations and screening for infectious disease,96
419,CCS Diagnosis Description,58,7156.445,Fetal distress and abnormal forces of labor,9080
420,CCS Diagnosis Description,59,7204.51,Epilepsy; convulsions,26715
421,CCS Diagnosis Description,60,7274.465,Other injuries and conditions due to external causes,6200
422,CCS Diagnosis Description,61,7277.9349999999995,Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium,7808
423,CCS Diagnosis Description,62,7280.08,Hemorrhoids,1805
424,CCS Diagnosis Description,63,7280.67,Other perinatal conditions,3433
425,CCS Diagnosis Description,64,7288.82,Influenza,6503
426,CCS Diagnosis Description,65,7346.87,Diseases of mouth; excluding dental,1455
427,CCS Diagnosis Description,66,7374.6,Open wounds of head; neck; and trunk,2376
428,CCS Diagnosis Description,67,7383.89,Fetopelvic disproportion; obstruction,1375
429,CCS Diagnosis Description,68,7387.72,Poisoning by other medications and drugs,4528
430,CCS Diagnosis Description,69,7511.56,E Codes: Adverse effects of medical drugs,435
431,CCS Diagnosis Description,70,7526.01,Cataract,22
432,CCS Diagnosis Description,71,7530.575,Urinary tract infections,31656
433,CCS Diagnosis Description,72,7541.36,Gastritis and duodenitis,5040
434,CCS Diagnosis Description,73,7602.805,Other circulatory disease,6346
435,CCS Diagnosis Description,74,7605.565,Glaucoma,96
436,CCS Diagnosis Description,75,7635.95,Pancreatic disorders (not diabetes),16763
437,CCS Diagnosis Description,76,7674.0650000000005,Polyhydramnios and other problems of amniotic cavity,29394
438,CCS Diagnosis Description,77,7717.8,Gout and other crystal arthropathies,1821
439,CCS Diagnosis Description,78,7727.78,Ectopic pregnancy,1301
440,CCS Diagnosis Description,79,7755.57,Menstrual disorders,765
441,CCS Diagnosis Description,80,7777.2,Open wounds of extremities,2171
442,CCS Diagnosis Description,81,7788.66,Retinal detachments; defects; vascular occlusion; and retinopathy,358
443,CCS Diagnosis Description,82,7802.11,Inflammatory conditions of male genital organs,1723
444,CCS Diagnosis Description,83,7807.31,Hemorrhage during pregnancy; abruptio placenta; placenta previa,3175
445,CCS Diagnosis Description,84,7854.25,Mood disorders,54465
446,CCS Diagnosis Description,85,7880.62,Deficiency and other anemia,11491
447,CCS Diagnosis Description,86,7882.03,Lymphadenitis,1003
448,CCS Diagnosis Description,87,7939.02,Ovarian cyst,1198
449,CCS Diagnosis Description,88,7943.99,Other eye disorders,643
